id,titulo,orientacion,carrera,resolucion,modalidad,institucion_id
523,LICENCIADO/A EN MÚSICA CON ORIENTACIÓN EN VIOLA, VIOLA,LICENCIATURA EN MÚSICA CON ORIENTACIÓN EN INSTRUMENTO,R.M./1156/2018,PRESENCIAL,5
524,LICENCIADO EN ACTUACIÓN,,,R.M.0286/99,PRESENCIAL,5
525,LICENCIADO EN ARTES AUDIOVISUALES,,,R.M.0378/99,PRESENCIAL,5
526,LICENCIADO EN ARTES MUSICALES,,,R.M.0285/99,PRESENCIAL,5
527,LICENCIADO EN ARTES VISUALES CON ORIENTACION EN DIBUJO, DIBUJO,LICENCIATURA EN ARTES VISUALES,R.M./1622/2011,PRESENCIAL,5
528,LICENCIADO EN ARTES VISUALES CON ORIENTACION EN DIGITALIZACION DE IMAGENES, DIGITALIZACION DE IMAGENES,LICENCIATURA EN ARTES VISUALES,R.M./1622/2011,PRESENCIAL,5
529,LICENCIADO EN ARTES VISUALES CON ORIENTACION EN ESCULTURA,ESCULTURA,LICENCIATURA EN ARTES VISUALES,R.M./1622/2011,PRESENCIAL,5
530,LICENCIADO EN ARTES VISUALES CON ORIENTACION EN GRABADO Y ARTE IMPRESO,GRABADO Y ARTE IMPRESO,LICENCIATURA EN ARTES VISUALES,R.M./1622/2011,PRESENCIAL,5
531,LICENCIADO EN ARTES VISUALES CON ORIENTACION EN PINTURA,PINTURA,LICENCIATURA EN ARTES VISUALES,R.M./1622/2011,PRESENCIAL,5
532,LICENCIADO EN ARTES VISUALES ORIENTACION ARTES DEL FUEGO, ARTES DEL FUEGO,LICENCIATURA EN ARTES VISUALES ORIENTACION ARTES DEL FUEGO,R.M./1622/2011,PRESENCIAL,5
533,LICENCIADO EN COMPOSICION COREOGRAFICA,,,R.M.0331/99,PRESENCIAL,5
534,LICENCIADO EN CONSERVACION-RESTAURACION DE BIENES CULTURALES,,,R.M./377/1999 - R.M./1622/2011,PRESENCIAL,5
535,LICENCIADO EN CRITICA DE LAS ARTES,,,R.M.0284/99,PRESENCIAL,5
536,LICENCIADO EN DIRECCION ESCENICA,,,R.M.0286/99,PRESENCIAL,5
537,LICENCIADO EN DISEÑO DE ILUMINACION DE ESPECTACULOS,,,R.M.0286/99,PRESENCIAL,5
538,LICENCIADO EN ESCENOGRAFIA,,,R.M.0286/99 - R.M./1622/2011,PRESENCIAL,5
539,LICENCIADO EN FOLKLORE,,,R.M.0284/99,PRESENCIAL,5
540,LICENCIADO EN MULTIMEDIOS,,,R.M.0378/99,PRESENCIAL,5
541,"PROFESOR/A DE ARTE EN DANZA  PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA,EN TRAMITE,PRESENCIAL,5
542,"PROFESOR/A DE ARTES EN ARTES VISUALES CON MENCIÓN EN ARTES DEL FUEGO  NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN ARTES VISUALES CON MENCIÓN EN ARTES DEL FUEGO,R.M./2355/2019,PRESENCIAL,5
543,PROFESOR/A DE ARTES EN ARTES VISUALES CON ORIENTACIÓN EN CERÁMICA, CERÁMICA,PROFESORADO DE ARTES EN ARTES VISUALES CON ORIENTACIÓN EN CERÁMICA,R.M./64/2018,PRESENCIAL,5
544,PROFESOR/A DE ARTES EN ARTES VISUALES CON ORIENTACIÓN EN DIBUJO/PINTURA/ESCULTURA/GRABADO Y ARTE IMPRESO/ DIGITALIZACIÓN DE IMÁGENES., DIBUJO/PINTURA/ESCULTURA/GRABADO Y ARTE IMPRESO/ DIGITALIZACIÓN DE IMÁGENES.,PROFESORADO DE ARTES EN ARTES VISUALES CON ORIENTACIÓN EN DIBUJO / PINTURA/ ESCULTURA / GRABADO Y ARTE IMPRESO / DIGITALIZACIÓN DE IMÁGENES,R.M./65/2018,PRESENCIAL,5
545,"PROFESOR/A DE ARTES EN ARTES VISUALES MENCIÓN ARTES DEL FUEGO PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN ARTES VISUALES CON MENCIÓN EN ARTES DEL FUEGO,R.M./2355/2019,PRESENCIAL,5
546,"PROFESOR/A DE ARTES EN ARTES VISUALES   NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN ARTES VISUALES,R.M./2363/2019,PRESENCIAL,5
547,"PROFESOR/A DE ARTES EN ARTES VISUALES  PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN ARTES VISUALES,R.M./2363/2019,PRESENCIAL,5
548,PROFESOR/A DE ARTES EN DANZA,,PROFESORADO DE ARTES EN DANZA,R.M./299/2018,PRESENCIAL,5
549,"PROFESOR/A DE ARTES EN DANZA CON MENCIÓN EN EXPRESIÓN CORPORAL PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN EXPRESIÓN CORPORAL,R.M./2353/2019,PRESENCIAL,5
550,PROFESOR/A DE ARTES EN DANZA CON ORIENTACIÓN EN EXPRESIÓN CORPORAL, EXPRESIÓN CORPORAL,PROFESORADO DE ARTES EN DANZA CON ORIENTACIÓN EN EXPRESIÓN CORPORAL,R.M./686/2018,PRESENCIAL,5
551,PROFESOR/A DE ARTES EN DANZA CON ORIENTACIÓN EN FOLKLORE,FOLKLORE,PROFESORADO DE ARTES EN DANZA CON ORIENTACIÓN EN FOLKLORE,R.M./43/2018 - R.M./2682/2019,PRESENCIAL,5
552,"PROFESOR/A DE ARTES EN DANZA MENCIÓN  DANZAS FOLKLÓRICAS Y TANGO NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN DANZAS FOLKLÓRICAS Y TANGO,R.M./2362/2019,PRESENCIAL,5
553,"PROFESOR/A DE ARTES EN DANZA MENCIÓN  DANZAS FOLKLÓRICAS Y TANGO PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN DANZAS FOLKLÓRICAS Y TANGO,R.M./2362/2019,PRESENCIAL,5
554,"PROFESOR/A DE ARTES EN DANZA MENCIÓN EXPRESIÓN CORPORAL  NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN EXPRESIÓN CORPORAL,R.M./2353/2019,PRESENCIAL,5
555,"PROFESOR/A DE ARTES EN DANZA  NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN DANZA,EN TRAMITE,PRESENCIAL,5
556,"PROFESOR/A DE ARTES EN FOLKLORE MENCIÓN INSTRUMENTOS CRIOLLOS NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN FOLKLORE CON MENCIÓN EN INSTRUMENTOS CRIOLLOS,R.M./2361/2019,PRESENCIAL,5
557,"PROFESOR/A DE ARTES EN FOLKLORE MENCIÓN INSTRUMENTOS CRIOLLOS PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN FOLKLORE CON MENCIÓN EN INSTRUMENTOS CRIOLLOS,R.M./2361/2019,PRESENCIAL,5
558,PROFESOR/A DE ARTES EN MÚSICA,,PROFESORADO DE ARTES EN MÚSICA,R.M./815/2018,PRESENCIAL,5
559,PROFESOR/A DE ARTES EN MÚSICA CON ORIENTACIÓN EN FOLKLORE,FOLKLORE,PROFESORADO DE ARTES EN MÚSICA CON ORIENTACIÓN EN FOLKLORE,R.M./30/2018,PRESENCIAL,5
560,"PROFESOR/A DE ARTES EN MÚSICA NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN MÚSICA,R.M./2350/2019,PRESENCIAL,5
561,"PROFESOR/A DE ARTES EN MÚSICA PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN MÚSICA,R.M./2350/2019,PRESENCIAL,5
562,PROFESOR/A DE ARTES EN TEATRO,,PROFESORADO DE ARTES EN TEATRO,R.M./998/2018,PRESENCIAL,5
563,"PROFESOR/A DE ARTES EN TEATRO NIVEL INICIAL, EGB I, EGB II, EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN TEATRO,R.M./2349/2019,PRESENCIAL,5
564,"PROFESOR/A DE ARTES EN TEATRO  PARA EGB III, POLIMODAL Y TERCIARIO",,PROFESORADO DE ARTES EN TEATRO,R.M./2349/2019,PRESENCIAL,5
565,"PROFESOR DE ARTE PARA EL 3er CICLO DEL E.G.B., POLIMODAL Y TERCIARIO",,,R.M.0284/99,PRESENCIAL,5
566,ABOGADO/A,,,DIS.0003/70 - R.M.0305/97-R.M.0870/04,PRESENCIAL,6
567,ABOGADO/A,,ABOGACÍA,R.M./167/2018,PRESENCIAL,6
568,CONTADOR/A  PÚBLICO/A,,CONTADOR PÚBLICO,R.M./603/2017,PRESENCIAL,6
569,CONTADOR/A PÚBLICO/A,,CONTADOR PÚBLICO,EN TRAMITE,PRESENCIAL,6
570,CONTADOR/A PÚBLICO/A,,,DIS.0003/70 - R.M.1647/86 - R.M.1082/89,PRESENCIAL,6
571,ESCRIBANO,,,R.M.3312/94,PRESENCIAL,6
572,INGENIERIO/A EN INFORMÁTICA,,INGENIERÍA EN INFORMÁTICA,R.M./312/2021,PRESENCIAL,6
573,INGENIERO/A AGRIMENSOR/A,,,DIS.0003/70,PRESENCIAL,6
574,INGENIERO/A ELECTRÓNICO/A,,INGENIERÍA ELECTRÓNICA,R.M./2119/2019,PRESENCIAL,6
575,INGENIERO/A EN ELECTRÓNICA,,,R.M.0609/95,PRESENCIAL,6
576,INGENIERO/A EN INFORMÁTICA,,INGENIERÍA EN INFORMÁTICA,R.M./280/2015 - R.M./2399/2013 - R.M./3085/2017 - R.M./680/2019,PRESENCIAL,6
577,INGENIERO EN COMPUTACION,,,R.M.1306/88,PRESENCIAL,6
578,LICENCIADO/A EN ADMINISTRACIÓN,,LICENCIATURA EN ADMINISTRACIÓN,R.M.2061/86 - R.M./1590/2013,PRESENCIAL,6
579,LICENCIADO/A EN ADMINISTRACIÓN,,LICENCIATURA EN ADMINISTRACIÓN,EN TRAMITE,PRESENCIAL,6
580,LICENCIADO/A EN ARTES ESCÉNICAS,,LICENCIATURA EN ARTES ESCÉNICAS,R.M./1034/2018,PRESENCIAL,6
581,LICENCIADO/A EN ARTES VISUALES,,LICENCIATURA EN ARTES VISUALES - CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./997/2020,PRESENCIAL,6
582,LICENCIADO/A EN BIBLIOTECOLOGÍA,,LICENCIATURA EN BIBLIOTECOLOGÍA -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./2181/2014 - R.M./547/2020,PRESENCIAL,6
583,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,R.M./2098/2020,PRESENCIAL,6
584,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,,DIS.0228/70,PRESENCIAL,6
585,LICENCIADO/A EN CIENCIAS POLÍTICAS,,LICENCIATURA EN CIENCIAS POLÍTICAS,DIS.0003/70 - R.M.0529/99 - R.M./2420/2013,PRESENCIAL,6
586,LICENCIADO/A EN COMERCIALIZACIÓN,,,R.M.2117/98,PRESENCIAL,6
587,LICENCIADO/A EN COMERCIO EXTERIOR,,,R.M.0878/05,PRESENCIAL,6
588,LICENCIADO/A EN COMERCIO EXTERIOR,,LICENCIATURA EN COMERCIO EXTERIOR,R.M./3098/2019,PRESENCIAL,6
589,LICENCIADO/A EN COOPERATIVISMO Y MUTUALISMO,,LICENCIATURA EN COOPERATIVISMO Y MUTUALISMO,R.M./2602/2020,PRESENCIAL,6
590,LICENCIADO/A EN COOPERATIVISMO Y MUTUALISMO,,LICENCIATURA EN COOPERATIVISMO Y MUTUALISMO,R.M./2463/2020,PRESENCIAL,6
591,LICENCIADO/A EN DISEÑO DE LA COMUNICACIÓN VISUAL,,,D./2107/2012,PRESENCIAL,6
592,LICENCIADO/A EN DISEÑO DE LA COMUNICACIÓN VISUAL,,LICENCIATURA EN DISEÑO DE LA COMUNICACIÓN VISUAL,R.M./546/2020,PRESENCIAL,6
593,LICENCIADO/A EN FINANZAS,,LICENCIATURA EN FINANZAS,R.M./2286/2013 - R.M./3813/2019,PRESENCIAL,6
594,LICENCIADO/A EN GEOGRAFÍA,,LICENCIATURA EN GEOGRAFÍA - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./55/2018,PRESENCIAL,6
595,LICENCIADO/A EN GEOGRAFÍA,,,DIS.0010/79,PRESENCIAL,6
596,LICENCIADO/A EN HOTELERÍA,,LICENCIATURA EN HOTELERÍA,R.M./1909/2014,PRESENCIAL,6
597,LICENCIADO/A EN KINESIOLOGÍA Y FISIATRÍA,,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,R.M./1893/2014,PRESENCIAL,6
598,LICENCIADO/A EN MARKETING,,LICENCIATURA EN MARKETING,R.M./2238/2020,PRESENCIAL,6
599,LICENCIADO/A EN MARKETING,,LICENCIATURA EN MARKETING,R.M./2037/2020,PRESENCIAL,6
600,LICENCIADO/A EN MARKETING,,LICENCIATURA EN MARKETING,R.M./2222/2020,PRESENCIAL,6
601,LICENCIADO/A EN NUTRICIÓN,,LICENCIATURA EN NUTRICIÓN,R.M./2285/2013,PRESENCIAL,6
602,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,EN TRAMITE,PRESENCIAL,6
603,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,R.M./4405/2017,PRESENCIAL,6
604,LICENCIADO/A  EN PSICOLOGÍA,,,R.M.0706/95,PRESENCIAL,6
605,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,R.M./8/2017,PRESENCIAL,6
606,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,R.M./1955/2017,PRESENCIAL,6
607,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,EN TRAMITE,PRESENCIAL,6
608,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,EN TRAMITE,PRESENCIAL,6
609,LICENCIADO/A EN PSICOPEDAGOGÍA,,LICENCIATURA EN PSICOPEDAGOGÍA,R.M.1725/82 - R.M./1324/2015 - R.M./1883/2019,PRESENCIAL,6
610,LICENCIADO/A EN PSICOPEDAGOGÍA,,LICENCIATURA EN PSICOPEDAGOGÍA - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./3837/2019,PRESENCIAL,6
611,LICENCIADO/A EN PSICOPEDAGOGÍA,,LICENCIATURA EN PSICOPEDAGOGÍA - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./4076/2019,PRESENCIAL,6
612,LICENCIADO/A EN RECURSOS HUMANOS,,LICENCIATURA EN RECURSOS HUMANOS,R.M./2638/2018,PRESENCIAL,6
613,LICENCIADO/A EN RELACIONES INTERNACIONALES,,LICENCIATURA EN RELACIONES INTERNACIONALES,R.M.1209/99,PRESENCIAL,6
614,LICENCIADO/A EN SEGURIDAD,,LICENCIATURA EN SEGURIDAD,R.M./774/2017,PRESENCIAL,6
615,LICENCIADO/A EN TURISMO,,LICENCIATURA EN TURISMO,R.M.0616/05 - R.M./300/2021,PRESENCIAL,6
616,LICENCIADO EN ADMINISTRACION DEL DEPORTE,,LICENCIATURA EN ADMINISTRACIÓN DEL DEPORTE,R.M./2284/2013,PRESENCIAL,6
617,LICENCIADO EN CIENCIAS RELIGIOSAS -CICLO DE LICENCIATURA,,,R.M.0509/03,PRESENCIAL,6
618,LICENCIADO EN COMUNICACIÓN SOCIAL,,,R.M.0293/00,PRESENCIAL,6
619,LICENCIADO EN COMUNICACIÓN SOCIAL ORIENTACION COMUNICACIÓN EDUCATIVA,COMUNICACIÓN EDUCATIVA,,R.M.1855/88,PRESENCIAL,6
620,LICENCIADO EN COMUNICACIÓN SOCIAL ORIENTACION COMUNICACIÓN ORGANIZACIONAL,COMUNICACIÓN ORGANIZACIONAL,,R.M.1855/88,PRESENCIAL,6
621,LICENCIADO EN COMUNICACIÓN SOCIAL ORIENTACION PERIODISMO, PERIODISMO,,R.M.1855/88,PRESENCIAL,6
622,LICENCIADO EN EDUCACIÓN ESPECIAL,,LICENCIATURA EN EDUCACIÓN ESPECIAL -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./727/2017,PRESENCIAL,6
623,LICENCIADO EN EDUCACIÓN ESPECIAL -CICLO DE LICENCIATURA-,,,R.M.1573/98,PRESENCIAL,6
624,LICENCIADO EN EDUCACIÓN FÍSICA Y DEPORTE,,LICENCIATURA EN EDUCACIÓN FÍSICA Y DEPORTE,R.M./2483/2015,PRESENCIAL,6
625,LICENCIADO EN EDUCACIÓN FÍSICA Y DEPORTE,,LICENCIATURA EN EDUCACIÓN FÍSICA Y DEPORTE- CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./2484/2015,PRESENCIAL,6
626,LICENCIADO EN FONOAUDIOLOGÍA,,LICENCIATURA EN FONOAUDIOLOGÍA,R.M./1751/2016,PRESENCIAL,6
627,LICENCIADO EN GESTION DE INSTITUCIONES EDUCATIVAS -CICLO DE LICENCIATURA,,,R.M.0109/98 - R.M.1566/04,PRESENCIAL,6
628,LICENCIADO EN PEDAGOGIA DE LA MATEMATICA,,,R.M.0754/89,PRESENCIAL,6
629,LICENCIADO EN PEDAGOGIA DE LA MATEMATICA -CICLO DE LICENCIATURA,,,R.M.0601/02,PRESENCIAL,6
630,LICENCIADO EN SOCIOLOGÍA,,,DIS.0003/70,PRESENCIAL,6
631,LICENCIADO EN TEOLOGIA SISTEMATICA,,,R.M.0089/01,PRESENCIAL,6
632,PROFESOR/A EN CIENCIAS DE LA EDUCACIÓN,,PROFESORADO EN CIENCIAS DE LA EDUCACIÓN,R.M./1094/2020,PRESENCIAL,6
633,PROFESOR EN CIENCIAS DE LA EDUCACION,,,DIS.0003/70,PRESENCIAL,6
634,PROFESOR EN COMUNICACIÓN SOCIAL,,,R.M.0293/00,PRESENCIAL,6
635,PROFESOR EN GEOGRAFIA,,,DIS.0010/79,PRESENCIAL,6
636,PROFESOR EN TEOLOGIA,,,R.M.0089/01,PRESENCIAL,6
637,CONTADOR/A PÚBLICO/A NACIONAL,,CONTADOR PÚBLICO NACIONAL,R.M./1552/2018,PRESENCIAL,7
638,CONTADOR/A PÚBLICO NACIONAL,,,R.R.0380/73 - R.M.0121/07,PRESENCIAL,7
639,GEÓLOGO,,,R.M.0175/96,PRESENCIAL,7
640,INGENIERO/A AGRÓNOMO/A,,,R.R.0380/73 - R.M.0332/04 -R.M.1218/06,PRESENCIAL,7
641,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./2873/2017,PRESENCIAL,7
642,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./2259/2018,PRESENCIAL,7
643,INGENIERO/A ELECTROMECÁNICO/A,,INGENIERÍA ELECTROMECÁNICA,R.M./649/2016,PRESENCIAL,7
644,INGENIERO/A EN RECURSOS NATURALES Y MEDIO AMBIENTE,,INGENIERÍA EN RECURSOS NATURALES Y MEDIO AMBIENTE,R.M.0108/98 - R.M./1768/2015 - R.M./1215/2019,PRESENCIAL,7
645,INGENIERO/A INDUSTRIAL,,,R.M.1116/09,PRESENCIAL,7
646,INGENIERO/A INDUSTRIAL,,,R.M.0436/00 - R.M.0988/07,PRESENCIAL,7
647,INGENIERO/A INDUSTRIAL,,INGENIERÍA INDUSTRIAL,R.M./1151/2017,PRESENCIAL,7
648,INGENIERO/A INDUSTRIAL,,INGENIERÍA INDUSTRIAL,R.M.0435/00,PRESENCIAL,7
649,INGENIERO/A INDUSTRIAL,,INGENIERÍA CIVIL,R.M./2175/2016,PRESENCIAL,7
650,INGENIERO/A QUÍMICO/A,,,R.M.0303/00 - R.M.0888/07,PRESENCIAL,7
651,INGENIERO/A QUÍMICO/A,,INGENIERÍA QUÍMICA,R.M./2148/2016,PRESENCIAL,7
652,INGENIERO EN PERFORACIONES,,,R.M.0119/07,PRESENCIAL,7
653,INGENIERO EN VIAS DE COMUNICACIÓN,,,D.0687/82,PRESENCIAL,7
654,INGENIERO HIDRÁULICO,,,D.0687/82,PRESENCIAL,7
655,LICENCIADO/A EN ADMINISTRACIÓN,,,R.M.1059/06,PRESENCIAL,7
656,LICENCIADO/A EN ANÁLISIS DE SISTEMAS,,LICENCIATURA EN ANÁLISIS DE SISTEMAS,D.1907/84 - R.M.0233/92 - R.M.0425/99 - R.M./1688/2014 - R.M./4682/2017,PRESENCIAL,7
657,LICENCIADO/A  EN CIENCIAS BIOLÓGICAS,,LICENCIATURA EN CIENCIAS BIOLÓGICAS,R.M./2693/2016,PRESENCIAL,7
658,LICENCIADO/A EN CIENCIAS DE LA COMUNICACIÓN,,,R.M.0591/07,PRESENCIAL,7
659,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,,R.M.1942/83 - R.M.1316/04,PRESENCIAL,7
660,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,R.M./2493/2019,PRESENCIAL,7
661,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./2483/2019,PRESENCIAL,7
662,LICENCIADO/A EN ECONOMÍA,,,R.M.1562/04,PRESENCIAL,7
663,LICENCIADO/A EN ENFERMERÍA,,,R.R.0826/73 - r.m.1363/10,PRESENCIAL,7
664,LICENCIADO/A EN ESTADÍSTICAS DE SALUD,,LICENCIATURA EN ESTADÍSTICAS DE SALUD -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./708/2017,PRESENCIAL,7
665,LICENCIADO/A EN FILOSOFÍA,,LICENCIATURA EN FILOSOFÍA,R.M./701/2020,PRESENCIAL,7
666,LICENCIADO/A EN FILOSOFÍA,,,R.M.1942/83 - R.M.1640/91,PRESENCIAL,7
667,LICENCIADO/A EN HISTORIA,,LICENCIATURA EN HISTORIA,R.M.1942/83 - R.M.1647/92 - R.M./2144/2014,PRESENCIAL,7
668,LICENCIADO/A EN HISTORIA,,LICENCIATURA EN HISTORIA,R.M./538/2020,PRESENCIAL,7
669,LICENCIADO/A EN MATEMÁTICA,,,R.M.2830/94 - R.M.0265/04,PRESENCIAL,7
670,LICENCIADO/A EN NUTRICIÓN,,,R.M.3304/94,PRESENCIAL,7
671,LICENCIADO/A EN NUTRICIÓN,,LICENCIATURA EN NUTRICIÓN,R.M./2242/2017 - R.M./1403/2019,PRESENCIAL,7
672,LICENCIADO/A EN QUÍMICA,,LICENCIATURA EN QUÍMICA,R.M.0241/00 - R.M./1139/2014,PRESENCIAL,7
673,LICENCIADO EN ADMINISTRACION CON MENCION ALTERNATIVA EN SECTOR EMPRESAS,,,R.M.0390/06,PRESENCIAL,7
674,LICENCIADO EN ADMINISTRACION CON MENCION ALTERNATIVA EN SECTOR PUBLICO,,,R.M.0390/06,PRESENCIAL,7
675,LICENCIADO EN ANTROPOLOGÍA,,,R.M.0090/00,PRESENCIAL,7
676,LICENCIADO EN ARTE -CICLO DE LICENCIATURA,,,R.M.0463/10,PRESENCIAL,7
677,LICENCIADO EN CIENCIAS BIOLÓGICAS,,,R.M.2398/97 - R.M.2512/98 - R.M.0739/03 - R.M.0717/07,PRESENCIAL,7
678,LICENCIADO EN FISICA,,,D.1550/83 - R.M.2794/94 - R.M.0478/04,PRESENCIAL,7
679,LICENCIADO EN FONOAUDIOLOGIA -CICLO DE LICENCIATURA,,,R.M.0996/03,PRESENCIAL,7
680,LICENCIADO EN LETRAS,,,R.M.1942/83,PRESENCIAL,7
681,LICENCIADO EN NUTRICIÓN,,NUTRICIÓN,R.M./1976/2019,PRESENCIAL,7
682,LICENCIADO EN RECURSOS NATURALES,,,R.M.0971/91,PRESENCIAL,7
683,LICENCIANDO/A EN ENFERMERÍA,,LICENCIATURA EN ENFERMERÍA,R.M./830/2020,PRESENCIAL,7
684,PROFESOR/A EN CIENCIAS BIOLOGICAS,,PROFESORADO EN CIENCIAS BIOLÓGICAS,R.M./156/2019,PRESENCIAL,7
685,PROFESOR/A EN CIENCIAS DE LA EDUCACIÓN,,PROFESORADO EN CIENCIAS DE LA EDUCACIÓN- DISPOSICIÓN,R.M./1993/2019,PRESENCIAL,7
686,PROFESOR/A EN FÍSICA,,PROFESORADO EN FÍSICA,R.M./343/2018,PRESENCIAL,7
687,PROFESOR/A EN HISTORIA,,,R.M.1942/83,PRESENCIAL,7
688,PROFESOR/A EN HISTORIA,,PROFESORADO EN HISTORIA,R.M./1898/2016,PRESENCIAL,7
689,PROFESOR/A EN LETRAS,,,R.M.1942/83,PRESENCIAL,7
690,PROFESOR/A EN MATEMÁTICA Y FÍSICA PARA EL NIVEL MEDIO,,PROFESORADO EN MATEMÁTICA Y FÍSICA PARA EL NIVEL MEDIO,R.M./2206/2019,PRESENCIAL,7
691,PROFESOR DE FISICA,,,R.M.0334/99,PRESENCIAL,7
692,PROFESOR EN CIENCIAS BIOLOGICAS,,,R.M.0432/95 - R.M.1065/05,PRESENCIAL,7
693,PROFESOR EN CIENCIAS DE LA EDUCACION,,,R.M.1942/83 - R.M.1316/04,PRESENCIAL,7
694,PROFESOR EN CIENCIAS ECONOMICAS,,,R.M.1882/94,PRESENCIAL,7
695,PROFESOR EN CIENCIAS ECONOMICAS -CICLO DE PROFESORADO,,,R.M.1186/05,PRESENCIAL,7
696,PROFESOR EN CIENCIAS JURÍDICAS,,,R.M.1882/94,PRESENCIAL,7
697,PROFESOR EN CIENCIAS JURIDICAS -CICLO DE PROFESORADO,,,R.M.1186/05,PRESENCIAL,7
698,PROFESOR EN FILOSOFÍA,,,R.M.1942/83,PRESENCIAL,7
699,PROFESOR EN MATEMÁTICA,,,R.M.0089/00,PRESENCIAL,7
700,PROFESOR EN QUIMICA,,,R.M.1925/97 - R.M.1255/05,PRESENCIAL,7
701,PROFESOR PARA LA ENSEÑANZA UNVERSITARIA EN FILOSOFIA,,,R.M.1640/91,PRESENCIAL,7
702,PROFESOR UNIVERSITARIO EN HISTORIA,,,R.M.1647/92,PRESENCIAL,7
703,PROFESOR UNIVERSITARIO EN LETRAS,,,R.M.0752/92,PRESENCIAL,7
704,TÉCNICO/A EN CONTROL BROMATOLÓGICO,,LICENCIATURA EN BROMATOLOGÍA,R.M./2703/2017,PRESENCIAL,7
705,ABOGADO/A,,,C.S.,PRESENCIAL,8
706,ACTUARIO,,,C.S.,PRESENCIAL,8
707,ACTUARIO (ADMINISTRACIÓN),,ACTUARIO,R.M./1207/2005,PRESENCIAL,8
708,ACTUARIO (ECONOMÍA),,ACTUARIO,R.M./1207/2005,PRESENCIAL,8
709,ARQUITECTO/A,,,C.S.,PRESENCIAL,8
710,ARQUITECTO/A,,ARQUITECTURA,R.M./404/2019,PRESENCIAL,8
711,BIOQUÍMICO/A,,BIOQUÍMICA,R.M./1264/2017,PRESENCIAL,8
712,BIOQUÍMICO/A,,BIOQUÍMICA,R.M.0548/83 - R.M./731/2012,PRESENCIAL,8
713,CALÍGRAFO PÚBLICO,,CALÍGRAFO PÚBLICO,R.M./1577/2016 - D./1324/2019,PRESENCIAL,8
714,COMPUTADOR CIENTIFICO,,,R.M.1541/83,PRESENCIAL,8
